datetime,open,high,low,close,volume,period
01/01/19 05:30,3701.23,3713,3684.22,3689.69,1299.906535,1
01/01/19 07:30,3689.67,3699.77,3675.04,3693.13,1692.016999,2
01/01/19 09:30,3692.32,3720,3685.94,3699.94,1889.855137,3
01/01/19 11:30,3699.95,3726.64,3697,3713.83,1483.905262,4
01/01/19 13:30,3714.19,3732,3696.14,3699.95,1842.980396,5
01/01/19 15:30,3699.96,3722.22,3698,3707.54,1134.778587,6
01/01/19 17:30,3707.56,3756.94,3698.25,3715.93,1596.063405,7
01/01/19 19:30,3715.23,3717,3666.01,3682.61,2124.055164,8
01/01/19 21:30,3683,3701.68,3675.01,3686.32,1009.395767,9
01/01/19 23:30,3686.34,3699.99,3642,3696.73,2238.720208,10
02/01/19 01:30,3696.71,3730.01,3675.67,3708.21,3126.672683,11
02/01/19 03:30,3707.98,3810.16,3692.42,3797.14,4303.33689,12
02/01/19 05:30,3796.45,3810,3763.75,3770,3006.836272,13
02/01/19 07:30,3769.98,3796.22,3768,3779.98,1489.670824,14
02/01/19 09:30,3780,3788.31,3765,3773.04,1164.109722,15
02/01/19 11:30,3773.04,3778.54,3750.45,3771.08,2255.780798,16
02/01/19 13:30,3772.64,3800,3770,3775,3700.207072,17
02/01/19 15:30,3773.84,3803.68,3770.03,3787.97,2513.078248,18
02/01/19 17:30,3788.81,3839.63,3778.23,3825.65,3769.634589,19
02/01/19 19:30,3825.19,3834.26,3785.75,3801.28,3685.23542,20
02/01/19 21:30,3802.61,3865.72,3795,3822.6,4862.515869,21
02/01/19 23:30,3822.62,3833,3801.14,3824.98,2125.066303,22
03/01/19 01:30,3824.98,3876,3812.34,3856.68,2960.218245,23
03/01/19 03:30,3857.36,3882.14,3842.46,3858.56,3624.110007,24
03/01/19 05:30,3857.57,3862.74,3821.14,3835.96,3089.722504,25
03/01/19 07:30,3835.96,3847.05,3825.85,3841.83,1383.968739,26
03/01/19 09:30,3841.83,3850,3805,3824.38,1743.965025,27
03/01/19 11:30,3824.38,3837.52,3813.62,3828.88,1481.262008,28
03/01/19 13:30,3828.88,3832.83,3783,3805.81,3203.157592,29
03/01/19 15:30,3806.13,3819,3787.29,3804,2968.589232,30
03/01/19 17:30,3803.31,3823,3795.33,3817.36,2341.167033,31
03/01/19 19:30,3816.64,3817.37,3785.32,3806.7,2528.09843,32
03/01/19 21:30,3807.37,3807.75,3730,3748.46,5297.170499,33
03/01/19 23:30,3748.46,3763.71,3738,3756,1793.223882,34
04/01/19 01:30,3756,3782.69,3752.37,3771.26,2093.903206,35
04/01/19 03:30,3771.27,3781.4,3757.14,3766.78,1482.720209,36
04/01/19 05:30,3767.2,3776.89,3730,3766.23,2043.488198,37
04/01/19 07:30,3765.67,3787.65,3750.41,3780.04,1565.239656,38
04/01/19 09:30,3780.04,3793,3761.94,3779.9,2272.125288,39
04/01/19 11:30,3779.9,3800,3775.92,3783.28,2557.799087,40
04/01/19 13:30,3783.28,3800,3757,3764.35,2845.144404,41
04/01/19 15:30,3764.03,3777.77,3752,3757.55,1776.375009,42
04/01/19 17:30,3754.05,3765,3739,3744,2944.167582,43
04/01/19 19:30,3744.62,3751.94,3703.57,3725.28,4156.765132,44
04/01/19 21:30,3725.3,3754,3717.3,3745.22,2174.639786,45
04/01/19 23:30,3745.43,3746.59,3726.99,3739.53,1651.182632,46
05/01/19 01:30,3739.74,3823.64,3733.46,3802.36,3601.402646,47
05/01/19 03:30,3802.59,3816.18,3778.51,3792.01,1931.225251,48
05/01/19 05:30,3790.09,3838.7,3783.25,3803.58,4703.439275,49
05/01/19 07:30,3803.56,3822.27,3802.43,3815,2426.118215,50
05/01/19 09:30,3815.35,3840.99,3812.09,3834.01,2701.737496,51
05/01/19 11:30,3834.01,3835.08,3780.13,3785.15,2971.583787,52
05/01/19 13:30,3784.37,3798.84,3783.76,3790.36,1273.485037,53
05/01/19 15:30,3789.72,3812.63,3770,3801.26,1815.331887,54
05/01/19 17:30,3801.03,3811.98,3782,3793.84,2350.524623,55
05/01/19 19:30,3793.83,3814,3778.01,3785.58,3140.296689,56
05/01/19 21:30,3785.58,3807.99,3775,3801.36,2668.172513,57
05/01/19 23:30,3801.52,3820,3798.19,3810.98,2028.045882,58
06/01/19 01:30,3810.89,3812.5,3799,3806.57,1007.275753,59
06/01/19 03:30,3806.33,3810.2,3751,3770.96,3404.656594,60
06/01/19 05:30,3771.12,3792.12,3761.15,3765.65,2029.920942,61
06/01/19 07:30,3765.65,3778.13,3740,3771.15,2205.609633,62
06/01/19 09:30,3771.7,3783.55,3760.58,3777.75,1235.348202,63
06/01/19 11:30,3778.38,3779.76,3760,3767.94,986.885228,64
06/01/19 13:30,3768.11,3782.56,3761.81,3771.3,1390.902527,65
06/01/19 15:30,3771.3,3820.82,3770.93,3814.24,3597.599927,66
06/01/19 17:30,3814.23,3820.41,3785,3798.61,2197.507531,67
06/01/19 19:30,3800,3824.99,3791,3806.82,2452.284155,68
06/01/19 21:30,3806.91,4025,3800.31,4007.11,9172.071125,69
06/01/19 23:30,4007.13,4027.71,3972.71,4002.46,5037.234214,70
07/01/19 01:30,4001.41,4015,3953.53,3967.49,4038.439061,71
07/01/19 03:30,3967.49,4009.63,3965.42,3987.6,2210.004164,72
07/01/19 05:30,3987.62,4017.9,3972.06,3984.28,3259.266472,73
07/01/19 07:30,3984.02,3996.97,3970.03,3992.26,2105.485821,74
07/01/19 09:30,3991.69,3996.08,3980.08,3994.96,1380.889912,75
07/01/19 11:30,3993.82,4001.77,3982.61,4001,2219.420436,76
07/01/19 13:30,4001.02,4015,3921.53,3957.01,6079.816409,77
07/01/19 15:30,3957.01,3997,3952.07,3976.76,2976.77367,78
07/01/19 17:30,3976.78,3982.96,3955.02,3980.26,1730.55601,79
07/01/19 19:30,3980.98,4000,3964.49,3969.91,2438.769594,80
07/01/19 21:30,3969.91,3989.18,3941,3979.34,3469.749475,81
07/01/19 23:30,3979.34,3994.98,3974.31,3988.52,2232.56168,82
08/01/19 01:30,3987.71,3988.74,3961,3971.98,2049.460528,83
08/01/19 03:30,3971.99,3978.97,3951.55,3975.45,1927.096257,84
08/01/19 05:30,3976.76,3989,3960,3961.03,1895.531323,85
08/01/19 07:30,3961.53,3966.39,3922,3945.61,3330.511577,86
08/01/19 09:30,3944.94,3952.54,3936.26,3950.49,2462.711231,87
08/01/19 11:30,3950.49,3968.42,3940,3953.6,2082.815733,88
08/01/19 13:30,3953.14,3982,3948.75,3973.62,2955.168321,89
08/01/19 15:30,3972.12,4018,3964,4001.59,3525.689926,90
08/01/19 17:30,4002.32,4039,3988.64,4026.72,4168.251518,91
08/01/19 19:30,4027.3,4069.8,3981,4000.48,6843.212442,92
08/01/19 21:30,4002.04,4007.84,3938.82,3962,5261.226817,93
08/01/19 23:30,3962,3983,3954,3976.12,1798.119278,94
09/01/19 01:30,3976.11,3985.8,3960.9,3963.23,1453.891932,95
09/01/19 03:30,3963.34,3971.4,3903,3955.13,3124.293024,96
09/01/19 05:30,3955.45,3997.74,3930.04,3986,4106.287869,97
09/01/19 07:30,3985.74,3999.89,3977.3,3981.03,2426.338983,98
09/01/19 09:30,3981.98,4002,3981.03,3987.98,1731.223254,99
09/01/19 11:30,3988.19,4000,3978,3987.88,1599.660673,100
09/01/19 13:30,3987.76,3996.98,3971.11,3978,2007.032979,101
09/01/19 15:30,3977.7,4006.81,3971.5,3986.44,2593.064628,102
09/01/19 17:30,3985.52,3996.3,3952,3968.09,3353.555413,103
09/01/19 19:30,3968.07,3971.18,3941,3958.28,3242.259456,104
09/01/19 21:30,3957.59,3977.93,3952.44,3968,2216.589858,105
09/01/19 23:30,3967.14,3983.66,3958,3978.34,1735.326068,106
